Engleza,Romana
The closet door won't open.,Ușa dulapului nu se deschide.
The person standing near the gate is Tom.,Persoana care stă lângă poartă e Tom.
He is tired.,El este obosit.
The detective promised to look into the matter right away.,Detectivul a promis că va investiga problema imediat.
Where have all these people come from?,De unde au venit aceste persoane?
They made many changes.,Ei au făcut multe schimbări.
I think you should tell Tom what he wants to know.,Cred că ar trebui să îi spui lui Tom ceea ce el vrea să știe.
Go away!,Pleacă!
I will wait.,Eu voi aștepta.
Your medicine is ready.,Pastila ta e gata.
Tom accused me of stealing money.,Tom m-a acuzat că aș fi furat bani.
Let me think for a minute.,Lasă-mă să mă gândesc un minut.
Could you help Tom pack his suitcase?,Ai putea să-l ajuți pe Tom să-și facă bagajul?
I played soccer yesterday.,Am jucat fotbal ieri.
She enjoys listening to classical music.,Îi place să asculte muzică clasică.
"Give me the bill, please.","Aduceți-mi nota de plata, vă rog."
It was an experiment.,A fost un experiment.
I go to visit my friend in the hospital every other day.,O să-mi vizitez prietenul la spital o dată la două zile.
They became nervous.,Ei au devenit nervoși.
Have you finished ordering?,Ai terminat de comandat?
You ought not to miss it.,Nu trebuie să o pierzi.
We enjoyed watching the game.,Ne-a făcut plăcere să vedem meciul.
Tom comes here every now and then.,Tom vine aici din când în când.
Tom and Mary are a perfect match for each other.,Tom și Mary sunt partenerul perfect unul altuia.
Tom looked at it.,Tom s-a uitat la asta.
We ask the teacher questions every day.,Noi întrebăm profesorul în fiecare zi.
Maybe it will be exactly the same for him.,Poate va fi exact la fel pentru el.
We're even.,Suntem chit.
Tom has been suffering a lot.,Tom a suferit mult.
Could you let him out?,Ai putea să-l lași să iasă?
The hijackers were from Middle Eastern countries.,Pirații aerului erau din țări ale Orientului Mijlociu.
I abhor spiders.,Urăsc păianjenii.
Can you remember the time we visited Tom when he was still a teenager?,Îți amintești perioada când l-am vizitat pe Tom atunci când el încă era adolescent?
The child pointed out her mother to me.,Copilul mi-a indicat-o pe mama lui.
Jump!,Sări!
Mary is Tom's second wife.,Mary este a doua soție a lui Tom.
He certainly is smart.,El e cu siguranță isteț.
Tom opened the beer.,Tom a deschis berea.
You are beautiful.,Ești frumoasă.
I swam for more than three hours yesterday.,Am înotat mai bine de trei ore ieri.
I read a book while eating.,Am citit o carte în timp ce mâncam.
I've got everything that you want.,Am obţinut tot ceea ce vrei tu.
Tom didn't want to go to Australia.,Tom nu a dorit să meargă în Australia.
There's plenty of parking.,Sunt o grămadă de locuri de parcare.
Sometimes water becomes a precious commodity.,"Uneori, apa devine un bun prețios."
Let's go someplace else.,Hai să mergem altundeva.
We're sorry for what we did.,Ne pare rău pentru ceea ce am făcut.
I'm quite certain I don't want to be married to you.,Sunt destul de sigur că nu vreau să mă căsătoresc cu tine.
What's your favorite song?,Care este melodia dumneavoastră preferată?
Tom lent his camera to Mary.,Tom i-a împrumutat lui Mary camera sa foto.
We have to go sooner or later.,Trebuie să plecăm mai devreme sau mai târziu.
The group stayed at Fort Clatsop for four months.,Grupul a stat la fortul Clatsop pentru patru luni.
Tom should've told Mary.,Tom ar fi trebuit să-i spună lui Mary.
We worked on a farm last summer.,Noi am lucrat la o fermă vara trecută.
Tom has a pain in his big toe on his right foot.,Tom are o durere la degetul mare al piciorului drept.
Tom pulled Mary out of the quicksand.,Tom a scos-o pe Mary din nisipurile mișcătoare.
This soil is moist.,Acest sol e umed.
We use public transportation.,Folosim transportul public.
I must speak to Tom.,Trebuie să vorbesc cu Tom.
The public praised Roosevelt's reform efforts.,Publicul a lăudat efortul lui Roosevelt pentru reformă.
Tom wanted to stop and think.,Tom a vrut să se oprească și să se gândească.
Tom shouldn't have compared his teacher to Hitler.,Tom n-ar fi trebuit să-şi compare profesorul cu Hitler.
People normally breathe 12 to 20 times a minute.,Oamenii respiră în mod normal de la douăsprezece până la douăzeci de ori pe minut.
Check your list.,Verifică-ți lista!
That fact can't be denied.,Acest fapt nu poate fi negat.
Could you give this to Tom?,Ai putea să-i dai asta lui Tom?
I saw Tom climbing up the scaffolding.,L-am văzut pe Tom urcând pe schelă.
Stay here with us.,Stai aici cu noi.
Tom is a formidable opponent.,Tom este un adversar formidabil.
He's always on time for his appointments.,E întotdeauna punctual la întâlnirile lui.
Did anyone help you?,Te-a ajutat cineva?
This is an adjective.,Acesta este un adjectiv.
I don't have a cat.,N-am pisică.
"If you don't know the way, ask a policeman.","Dacă nu cunoști drumul, întreabă un polițist."
Many people like traveling by train.,Multor oameni le place să călătorească cu trenul.
I'm now living in Boston.,Acum locuiesc în Boston.
I can tell you love Tom.,Pot spune că-l iubești pe Tom.
I read a book.,Citesc o carte.
I didn't mean to demean you.,N-am vrut să te înjosesc.
Are you an exchange student?,Ești un student de schimb?
Life is short.,Viața este scurtă.
Freedom is not free.,Libertatea nu este gratuită.
Somebody has to talk.,Cineva trebuie să vorbească.
There was a big fire in my neighborhood.,În cartierul meu a fost un mare incendiu.
What a disappointment!,Ce dezamăgire!
We have to keep this secret.,Trebuie să ținem asta secretă.
His wife was killed in the accident.,Soția lui a fost ucisă într-un accident.
You may laugh at me.,Poate c-o să râzi de mine.
Please put your shoes on.,Te rog să-ți pui pantofii.
I won't ask you anything else today.,Nu te voi mai întreba nimic altceva azi.
It's very hot today.,Astăzi este foarte cald.
What has made you decide to work for our company?,Ce v-a făcut să vă decideţi să lucraţi pentru compania noastră?
The homes of hundreds of families were burned.,Casele a sute de familii au fost arse.
Are you sure?,Ești sigur?
It was grueling work.,A fost o muncă istovitoare.
A storm prevented the plane from taking off.,O furtună nu i-a permis avionului să decoleze.
Tom was subsequently fired.,"Ulterior, Tom a fost concediat."
Tom and Mary have trouble getting along.,Tom și Mary au probleme să se pună de acord.
Why would they subpoena you?,De ce te-ar chema în instanță?
I want to live in Australia.,Vreau să trăiesc în Australia.
Can you account for all the money you spent?,Poți să dai explicații în legătură cu toți banii pe care i-ai cheltuit?
He felt utterly humiliated.,El s-a simțit umilit în totalitate.
The United States has officially ended economic sanctions against Burma.,Statele Unite au încetat oficial sancțiunile economice împotriva Birmaniei.
You shouldn't judge others on how they look.,Nu trebuie să-i judeci pe alții după felul în care arată.
I'm a gym teacher.,Sunt un profesor de sport.
His explanation was not satisfactory.,Explicaţia lui nu era satisfăcătoare.
"I'd be unhappy, but I wouldn't kill myself.","Aș fi nefericit, dar nu m-aș sinucide."
Were you tired?,Ați fost obosită?
We shouldn't waste even one grain of rice.,N-ar fi trebuit să irosim nici măcar un bob de orez.
I don't steal.,Eu nu fur.
Marilyn Monroe died 33 years ago.,Marilyn Monroe a murit acum treizeci și trei de ani.
She was kind enough to take me to the hospital.,A fost destul de amabilă să mă ducă la spital.
I'm listening to music.,Ascult muzică.
That's common knowledge.,Acestea sunt cunoștințe comune.
Don't tell him the answer.,Nu-i spune răspunsul.
Tom tried to conceal his disappointment.,Tom a încercat să-și ascundă dezamăgirea.
Tom is a tough little guy.,Tom e un tip mic și dur.
It contained harmful chemicals.,Conţinea substanţe chimice periculoase.
The ticket is valid for a week.,Biletul este valid timp de o săptămână.
Tom doesn't plan to go to Mary's concert.,Tom nu plănuiește să meargă la concertul lui Mary.
"You'll remember that, I'm pretty sure.","Îți vei aminti asta, sunt destul de sigur."
She went to the airport to see him off.,Ea l-a însoțit până la aeroport.
Tell me what I need to know.,Spune-mi ce trebuie să știu.
I left the rest to him and went out.,I-am lăsat lui restul și am ieșit.
Are you suggesting it's a design flaw?,Sugerați că este un defect de proiectare?
Some animals are very good at climbing.,Unele animale sunt foarte bune la cățărat.
Tom left some food for Mary.,Tom i-a lăsat ceva mâncare lui Mary.
I told Tom I didn't want to go.,I-am spus lui Tom că nu doream să merg.
They have twin daughters.,Ei au gemene.
Please don't let the children play with knives.,"Te rog, nu lăsa copiii să se joace cu cuțitele."
"You can swim, can't you?","Poți să înoți, așa-i?"
The earliest civilizations arose in Mesopotamia.,Cele mai timpurii civilizații s-au născut în Mesopotamia.
"Tom isn't still sleeping, is he?","Tom nu mai doarme, nu-i așa?"
He has three brothers.,El are trei frați.
You can have the seat by the window if you want.,Poți avea locul de la fereastră dacă vrei.
I've got to say goodbye.,Trebuie să spun la revedere.
Why did you start studying French?,De ce ai început să studiezi franceza?
Let's consider the worst that could happen.,Să luăm în considerare cel mai rău lucru care s-ar putea întâmpla.
You didn't give me any alternative.,Nu mi-ai dat nici o alternativă.
Tom wasn't even trying.,Tom nici măcar nu încerca.
It's a piece of cake.,E o joacă de copil.
Japan is made up of volcanic islands.,Japonia este formată din insule vulcanice.
I wrote a long letter to him.,I-am scris o scrisoare lungă.
I'll lose.,Voi pierde.
Tom doesn't let Mary get near him.,Tom nu o lasă pe Mary să se apropie de el.
They consider him unfit for the job.,Ei îl consideră inapt pentru slujbă.
Fatigue is the natural result of overwork.,Oboseala este un rezultat natural al suprasolicitării.
Tom had to pay a fine for jaywalking.,Tom a trebuit să plătească o amendă pentru traversarea printr-un loc nepermis.
I assume that you've read my report.,Presupun că mi-ai citit raportul.
I wasn't conscious of anyone watching me.,"Din câte știu, nimeni nu s-a uitat la mine."
It's quite difficult to master French in 2 or 3 years.,Este destul de greu să stăpânești limba franceză în 2 sau 3 ani.
I can't stay here forever.,Nu pot să stau aici la nesfârșit.
Don't be afraid of making mistakes.,Nu te teme de a face greşeli.
Tom clapped his hands.,Tom a bătut din palme.
How are you these days?,Cum te simți zilele astea?
I just panicked.,Pur și simplu m-am panicat.
I'd rather stay home if it's all the same to you.,Mai degrabă aş sta acasă dacă pentru tine e totuna.
What I saw was depressing.,Ce am văzut era deprimant.
Who will look after your dog?,Cine va avea grijă de câinele tău?
The vase he broke is my aunt's.,Vaza pe care el a spart-o este a mătușii mele.
Tom knows who crashed into Mary's car.,Tom știe cine s-a tamponat de mașina Mariei.
You're beginning to worry me.,Începi să mă îngrijorezi.
There was a limousine waiting for Tom outside the hotel.,Era o limuzină ce-l aștepta pe Tom în afara hotelului.
You have to pay in advance.,Trebuie să plăteşti în avans.
Write your address here.,Scrie-ți adresa aici.
"If you're going to doubt everything, at least doubt your doubt.","Dacă ai de gând să pui la îndoială totul, cel puțin pune la îndoială îndoiala ta."
I can't remember the secret code.,Nu-mi pot aminti codul secret.
Tom looked me straight in the eyes.,Tom s-a uitat drept în ochii mei.
You will prevail.,Vei reuși.
I don't know what you mean.,Nu știu ce vrei să spui.
Traffic has been halted.,Traficul a fost oprit.
My father doesn't like music.,Tatălui meu nu-i place muzica.
He asked her questions.,I-a pus întrebări.
That is my school.,Aceea e şcoala mea.
